"By province","By age ",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"By province","By age ",Expectation of life at age (Total) (Years),Expectation of life at age (Male) (Years),Expectation of life at age (Female) (Years),Probability of dying (Total),Probability of dying (Male),Probability of dying (Female),Number of people left alive at age (Total) (Person),Number of people left alive at age (Male) (Person),Number of people left alive at age (Female) (Person),Person-years lived between ages (Total) (Person),Person-years lived between ages (Male) (Person),Person-years lived between ages (Female) (Person)
"Sejong","15",69.0,66.5,71.5,0.00198,0.00089,0.00306,99671,99700,99644,497880,498316,497450
"Sejong","20",64.1,61.6,66.7,0.00220,0.00339,0.00102,99474,99611,99338,496852,497265,496445
"Sejong","25",59.3,56.8,61.7,0.00223,0.00321,0.00126,99255,99274,99237,495789,495726,495857
"Sejong","30",54.4,51.9,56.8,0.00102,0.00098,0.00106,99033,98955,99113,494898,494448,495353
"Sejong","35",49.4,47.0,51.9,0.00142,0.00143,0.00141,98932,98858,99007,494370,494068,494679
"Sejong","40",44.5,42.0,46.9,0.00271,0.00339,0.00204,98792,98716,98868,493322,492769,493881
"Sejong","45",39.6,37.2,42.0,0.00403,0.00446,0.00359,98524,98382,98667,491673,490888,492463
"Sejong","50",34.8,32.3,37.2,0.00836,0.01028,0.00645,98127,97943,98312,488836,487441,490237
"Sejong","55",30.0,27.6,32.4,0.01243,0.01622,0.00867,97307,96936,97679,483697,481172,486229
"Sejong","60",25.4,23.1,27.7,0.02225,0.02919,0.01541,96098,95364,96832,475442,470251,480639
"Sejong","65",20.9,18.7,23.1,0.03552,0.04980,0.02166,93960,92581,95340,462378,452503,472259
"Sejong","70",16.6,14.5,18.5,0.06949,0.10527,0.03574,90622,87971,93275,438717,419097,458342
"Sejong","75",12.6,10.9,14.1,0.11465,0.15340,0.08073,84325,78710,89942,398518,363975,433067
"Sejong","80",8.9,7.4,10.1,0.25821,0.34511,0.18818,74657,66635,82680,330810,280797,380826
"Sejong","85",6.0,4.9,6.8,0.46582,0.57700,0.39353,55380,43639,67122,212404,152861,271949
"Sejong","90",4.1,3.2,4.5,0.67373,0.78418,0.62364,29583,18459,40707,93664,50685,136644
"Sejong","95",2.7,2.1,2.9,0.84447,0.92340,0.82394,9652,3984,15321,23648,7980,39316
"Sejong","100",1.9,1.4,1.9,1.00000,1.00000,1.00000,1501,305,2697,2845,436,5255
"Gyeonggi-do","0 ",83.9,81.2,86.6,0.00197,0.00209,0.00185,100000,100000,100000,99840,99825,99856
"Gyeonggi-do","1",83.1,80.4,85.7,0.00058,0.00058,0.00059,99803,99791,99815,399088,399040,399139
"Gyeonggi-do","5",79.1,76.5,81.8,0.00041,0.00041,0.00042,99744,99733,99756,498599,498540,498662
"Gyeonggi-do","10",74.2,71.5,76.8,0.00054,0.00058,0.00049,99703,99692,99715,498398,498335,498465
"Gyeonggi-do","15",69.2,66.5,71.9,0.00116,0.00136,0.00095,99650,99634,99666,497991,497879,498107
"Gyeonggi-do","20",64.3,61.6,66.9,0.00159,0.00199,0.00119,99534,99498,99571,497280,497001,497563
"Gyeonggi-do","25",59.4,56.7,62.0,0.00218,0.00273,0.00163,99376,99300,99452,496368,495866,496874
"Gyeonggi-do","30",54.5,51.9,57.1,0.00257,0.00323,0.00190,99159,99029,99290,495164,494351,495981
"Gyeonggi-do","35",49.6,47.0,52.2,0.00320,0.00417,0.00224,98904,98708,99101,493763,492559,494970
"Gyeonggi-do","40",44.8,42.2,47.3,0.00487,0.00593,0.00382,98588,98297,98879,491801,490107,493498
"Gyeonggi-do","45",40.0,37.5,42.5,0.00680,0.00848,0.00513,98107,97714,98501,489009,486714,491307
"Gyeonggi-do","50",35.2,32.8,37.7,0.01083,0.01480,0.00691,97440,96885,97996,484753,481089,488421
"Gyeonggi-do","55",30.6,28.2,32.9,0.01623,0.02292,0.00967,96385,95452,97319,478204,472121,484290
"Gyeonggi-do","60",26.1,23.8,28.2,0.02364,0.03419,0.01343,94820,93264,96378,468847,458829,478867
"Gyeonggi-do","65",21.6,19.6,23.6,0.03707,0.05416,0.02088,92579,90075,95083,454945,438936,470958
"Gyeonggi-do","70",17.4,15.5,19.0,0.06458,0.09161,0.03985,89147,85197,93098,432528,408065,456993
"Gyeonggi-do","75",13.4,11.8,14.7,0.11633,0.15683,0.08126,83390,77392,89389,395116,359058,431176
"Gyeonggi-do","80",9.8,8.5,10.8,0.22905,0.29061,0.18014,73689,65254,82125,329099,281163,377037
"Gyeonggi-do","85",6.9,5.9,7.5,0.39643,0.47417,0.34298,56811,46291,67331,228958,176246,281672
"Gyeonggi-do","90",4.7,4.1,5.1,0.59899,0.67533,0.55698,34289,24341,44238,117258,76800,157716
"Gyeonggi-do","95",3.2,2.8,3.4,0.78290,0.83950,0.76008,13750,7903,19598,37522,19491,55554
"Gyeonggi-do","100",2.3,2.0,2.3,1.00000,1.00000,1.00000,2985,1268,4702,6721,2484,10959
"Gangwon-do","0 ",82.8,79.5,86.2,0.00191,0.00211,0.00171,100000,100000,100000,99845,99823,99867
